name,area,type_tag,reward,description,acquisition,tips
Hidden Package #1,Vice Beach,Hidden Package,$500,One of 100 hidden packages scattered across Vice City. Find them all for a special vehicle reward.,Behind the lifeguard tower at the south end of Vice Beach. Look for the wooden stairs leading down.,Check behind all beach structures — Rockstar loves hiding packages near tourist spots.
Hidden Package #2,Downtown,Hidden Package,$500,GTA's classic collectible. Hidden packages have been in every 3D-era GTA and almost always return.,On the rooftop of the parking garage near the arena. Take the stairs to the top level.,Use a helicopter to quickly grab rooftop packages. Many are inaccessible on foot.
Hidden Package #3,Little Havana,Hidden Package,$500,Collectible hidden in a cultural landmark area. Little Havana is dense with alleys and backrooms.,Inside the abandoned café on Calle Ocho. Break the boarded door to enter.,Listen for the faint humming sound — hidden packages emit an audio cue when you're close.
Hidden Package #4,Starfish Island,Hidden Package,$750,Wealthy areas always have well-guarded collectibles. Starfish Island is the richest neighborhood in Vice City.,Under the dock behind the mansion with the large pool. Swim around the back.,Starfish Island has guards — come at night when patrols are lighter.
Stunt Jump #1,Vice Beach Boardwalk,Unique Stunt Jump,$1000,Unique stunt jumps require you to launch off a ramp and land in a specific zone. GTA5 had 50 of these.,Ramp at the north end of the boardwalk. Hit it at full speed and clear the pier.,Use a fast motorcycle for stunt jumps — they accelerate quicker than cars on short run-ups.
Stunt Jump #2,Downtown Bridge,Unique Stunt Jump,$1500,One of the harder stunt jumps. Requires precise timing with the drawbridge mechanic.,Jump off the raised drawbridge when it opens for a cargo ship. Land on the ship's deck.,Wait at the bridge control booth until a ship approaches — the bridge raises automatically.
Stunt Jump #3,Airport Perimeter,Unique Stunt Jump,$2000,High-speed jump near the airport. Needs a very fast car to clear the distance.,The dirt mound at the end of the airport runway access road. Jump over the security fence.,A fully upgraded sports car is recommended. Anything under 8.0 speed will fall short.
Rampage #1,Vice Port,Rampage,$800,Series staple since GTA3. Kill a target number of enemies within a time limit.,Destroy 15 vehicles in 2 minutes at the container yard near the cargo cranes.,Use the RPG or grenades — you need area damage to hit the vehicle count. Spawns at the red skull icon.
Weapon Pickup,Starfish Island,Weapon Pickup,Free RPG,Rare weapon spawn that respawns every 48 in-game hours. Worth revisiting.,Behind the mansion pool house on the east side of the island. Next to the hedge maze.,Weapon pickups respawn — mark this on your map and revisit whenever you need free RPG ammo.
Armor Pickup,Escobar International,Armor Pickup,Full Armor,Free body armor that respawns. Essential checkpoint before difficult missions.,Inside the airport parking structure, level 3. Northeast corner behind a pillar.,Grab this before every major heist mission — the airport is usually on the way to mission starts.
